State,Confirmed,Lat,Lon,State_nm
AK,286803,61.3707,-152.4044,Alaska
AL,1424411,32.3182,-86.9023,Alabama
AR,906952,34.9697,-92.3731,Arkansas
AZ,2211463,33.7298,-111.4312,Arizona
CA,10768334,36.1162,-119.6816,California
CO,1602381,39.0598,-105.3111,Colorado
CT,857105,41.5978,-72.7554,Connecticut
DC,163192,38.8974,-77.0268,District of Columbia
DE,295460,39.3185,-75.5071,Delaware
FL,6834572,27.7663,-81.6868,Florida
GA,2778580,33.0406,-83.6431,Georgia
HI,329633,21.0943,-157.4983,Hawaii
IA,822356,42.0115,-93.2105,Iowa
ID,480606,44.2405,-114.4788,Idaho
IL,3584009,40.3495,-88.9861,Illinois
IN,1837688,39.8494,-86.2583,Indiana
KS,842231,38.5266,-96.7265,Kansas
KY,1475711,37.6681,-84.6701,Kentucky
LA,1385619,31.1695,-91.8678,Louisiana
MA,1966919,42.2302,-71.5301,Massachusetts
MD,1186717,39.0639,-76.8021,Maryland
ME,276699,44.6939,-69.3819,Maine
MI,2692485,43.3266,-84.5361,Michigan
MN,1590564,45.6945,-93.9002,Minnesota
MO,1575298,38.4561,-92.2884,Missouri
MS,880758,32.7416,-89.6787,Mississippi
MT,296599,46.9219,-110.4544,Montana
NC,3016395,35.6301,-79.8064,North Carolina
ND,258226,47.5289,-99.784,North Dakota
NE,518268,41.1254,-98.2681,Nebraska
NH,339186,43.4525,-71.5639,New Hampshire
NJ,2606229,40.2989,-74.521,New Jersey
NM,594632,34.8405,-106.2485,New Mexico
NV,823574,38.3135,-117.0554,Nevada
NY,5842486,42.1657,-74.9481,New York
OH,2948242,40.3888,-82.7649,Ohio
OK,1128347,35.5653,-96.9289,Oklahoma
OR,856228,44.572,-122.0709,Oregon
PA,3105341,40.5908,-77.2098,Pennsylvania
RI,411760,41.6809,-71.5118,Rhode Island
SC,1605165,33.8569,-80.945,South Carolina
SD,251860,44.2998,-99.4388,South Dakota
TN,2210754,35.7478,-86.6923,Tennessee
TX,7588249,31.0545,-97.5635,Texas
UT,1010292,40.15,-111.8624,Utah
VA,1968329,37.7693,-78.17,Virginia
VT,138145,44.0459,-72.7107,Vermont
WA,1744292,47.4009,-121.4905,Washington
WI,1786635,44.2685,-89.6165,Wisconsin
WV,559295,38.4912,-80.9545,West Virginia
WY,171322,42.756,-107.3025,Wyoming
