State,Confirmed,Lat,Lon,State_nm
AK,301803,61.3707,-152.4044,Alaska
AL,1587224,32.3182,-86.9023,Alabama
AR,987049,34.9697,-92.3731,Arkansas
AZ,2384521,33.7298,-111.4312,Arizona
CA,11838628,36.1162,-119.6816,California
CO,1737244,39.0598,-105.3111,Colorado
CT,952152,41.5978,-72.7554,Connecticut
DC,173386,38.8974,-77.0268,District of Columbia
DE,323151,39.3185,-75.5071,Delaware
FL,7338503,27.7663,-81.6868,Florida
GA,2998991,33.0406,-83.6431,Georgia
HI,373514,21.0943,-157.4983,Hawaii
IA,888667,42.0115,-93.2105,Iowa
ID,512726,44.2405,-114.4788,Idaho
IL,3974859,40.3495,-88.9861,Illinois
IN,1987017,39.8494,-86.2583,Indiana
KS,920161,38.5266,-96.7265,Kansas
KY,1666113,37.6681,-84.6701,Kentucky
LA,1521203,31.1695,-91.8678,Louisiana
MA,2154886,42.2302,-71.5301,Massachusetts
MD,1322943,39.0639,-76.8021,Maryland
ME,307075,44.6939,-69.3819,Maine
MI,2998447,43.3266,-84.5361,Michigan
MN,1736893,45.6945,-93.9002,Minnesota
MO,1739403,38.4561,-92.2884,Missouri
MS,960923,32.7416,-89.6787,Mississippi
MT,323055,46.9219,-110.4544,Montana
NC,3359796,35.6301,-79.8064,North Carolina
ND,280583,47.5289,-99.784,North Dakota
NE,555114,41.1254,-98.2681,Nebraska
NH,368743,43.4525,-71.5639,New Hampshire
NJ,2941046,40.2989,-74.521,New Jersey
NM,660146,34.8405,-106.2485,New Mexico
NV,879355,38.3135,-117.0554,Nevada
NY,6596319,42.1657,-74.9481,New York
OH,3307568,40.3888,-82.7649,Ohio
OK,1250013,35.5653,-96.9289,Oklahoma
OR,942121,44.572,-122.0709,Oregon
PA,3431861,40.5908,-77.2098,Pennsylvania
RI,443645,41.6809,-71.5118,Rhode Island
SC,1780649,33.8569,-80.945,South Carolina
SD,272367,44.2998,-99.4388,South Dakota
TN,2440049,35.7478,-86.6923,Tennessee
TX,8262052,31.0545,-97.5635,Texas
UT,1074828,40.15,-111.8624,Utah
VA,2211948,37.7693,-78.17,Virginia
VT,148835,44.0459,-72.7107,Vermont
WA,1889201,47.4009,-121.4905,Washington
WI,1964866,44.2685,-89.6165,Wisconsin
WV,626674,38.4912,-80.9545,West Virginia
WY,183151,42.756,-107.3025,Wyoming
